Вопрос,Версия,Входные токены,Выходные токены,Общая стоимость
Что такое метод в Python?,v1,208,64,7e-05
Что такое метод в Python?,v2,1334,675,0.000605
Чем список отличается от кортежа?,v1,250,75,8.2e-05
Чем список отличается от кортежа?,v2,1376,911,0.000753
Что такое рекурсия?,v1,212,66,7.1e-05
Что такое рекурсия?,v2,1338,684,0.000611
Как работает try-except?,v1,199,166,0.000129
Как работает try-except?,v2,1325,762,0.000656
Что такое словарь?,v1,209,70,7.3e-05
Что такое словарь?,v2,1335,874,0.000725
Объясни декораторы простыми словами.,v1,261,94,9.6e-05
Объясни декораторы простыми словами.,v2,1387,830,0.000706
